Cohort,Section Y1,Midterm Y1,Final Y1,Teacher Midterm Y1,Teacher Final Y1,Section Y2,Exam Y2
2.0,3.0,49,55,2.0,1.0,3.0,77
2.0,2.0,59,64,2.0,1.0,2.0,77
2.0,2.0,30.5,22,2.0,1.0,2.0,77
2.0,3.0,43.5,46,2.0,1.0,3.0,77
2.0,3.0,39.5,53,2.0,1.0,3.0,76
2.0,2.0,70,54,2.0,1.0,2.0,75
2.0,2.0,76.5,47,2.0,1.0,2.0,75
2.0,2.0,24,47,2.0,1.0,2.0,74
2.0,3.0,29.5,51,2.0,1.0,3.0,74
2.0,2.0,48.5,52,2.0,1.0,2.0,74
2.0,1.0,26.5,32,2.0,1.0,1.0,74
2.0,1.0,74,65,2.0,1.0,1.0,73
2.0,2.0,50.5,41,2.0,1.0,2.0,72
2.0,2.0,30,28,2.0,1.0,2.0,72
2.0,1.0,52.5,70,2.0,1.0,1.0,71
2.0,2.0,48,54,2.0,1.0,2.0,71
2.0,2.0,39.5,40,2.0,1.0,2.0,71
2.0,3.0,44,54,2.0,1.0,3.0,71
2.0,1.0,48,55,2.0,1.0,1.0,71
2.0,1.0,65.5,38,2.0,1.0,1.0,70
2.0,3.0,43.5,20,2.0,1.0,3.0,70
2.0,1.0,61.5,63,2.0,1.0,1.0,70
2.0,1.0,50.5,47,2.0,1.0,1.0,70
2.0,1.0,29,36,2.0,1.0,1.0,70
2.0,3.0,59.5,56,2.0,1.0,3.0,70
2.0,1.0,35.5,43,2.0,1.0,1.0,70
2.0,1.0,36,59,2.0,1.0,1.0,70
2.0,1.0,39,29,2.0,1.0,1.0,70
2.0,3.0,53,56,2.0,1.0,3.0,69
2.0,3.0,58,60,2.0,1.0,3.0,69
2.0,3.0,67,51,2.0,1.0,3.0,69
2.0,1.0,75.5,58,2.0,1.0,1.0,69
2.0,1.0,46,35,2.0,1.0,1.0,69
2.0,2.0,37,49,2.0,1.0,2.0,69
2.0,3.0,20.5,28,2.0,1.0,3.0,68
2.0,2.0,55,59,2.0,1.0,2.0,68
2.0,3.0,42,31,2.0,1.0,3.0,68
2.0,3.0,37.5,52,2.0,1.0,3.0,68
2.0,1.0,42,31,2.0,1.0,1.0,68
2.0,2.0,34,31,2.0,1.0,2.0,68
