Section,Midterm,Final,Year,Repeat,Teacher midterm,Teacher final
1,79,90,4,0,2,2
2,11.5,A,4,0,1,1
2,39,A,4,0,1,1
2,38,40,4,0,1,1
1,41,24,4,0,2,2
3,11,A,4,0,2,2
1,47,23.5,4,0,2,2
3,40.5,42,4,0,2,2
1,55,44.5,4,0,2,2
1,75,62.5,4,0,2,2
1,48,30,4,0,2,2
1,51,42.5,4,0,2,2
2,21,18.5,4,0,1,1
2,31.5,14.5,4,0,1,1
3,25,17.5,4,0,2,2
1,29,29.5,4,0,2,2
1,85,79,4,0,2,2
3,40.5,37,4,0,2,2
2,41,38.5,4,0,1,1
2,43.5,53,4,0,1,1
2,48.5,28,4,0,1,1
1,45.5,33.5,4,0,2,2
2,50.5,40,4,0,1,1
3,42.5,34.5,4,0,2,2
3,26.5,24.5,4,0,2,2
2,48.5,51.5,4,0,1,1
2,43.5,43,4,0,1,1
1,46,41.5,4,0,2,2
1,59.5,71.5,4,0,2,2
3,15,17.5,4,0,2,2
3,44,40,4,0,2,2
2,41,42,4,0,1,1
3,28,33.5,4,0,2,2
3,75.5,65,4,0,2,2
3,39,36,4,0,2,2
1,73,76.5,4,0,2,2
1,72.5,65,4,0,2,2
3,40,28,4,0,2,2
3,40.5,52,4,0,2,2
3,50,36.5,4,0,2,2
1,49.5,62.5,4,0,2,2
2,39.5,30,4,0,1,1
2,27,48,4,0,1,1
1,76,61.5,4,0,2,2
1,70,74.5,4,0,2,2
2,31,45,4,0,1,1
1,75.5,59,4,0,2,2
1,55.5,47,4,0,2,2
3,33.5,30,4,0,2,2
2,24,31,4,0,1,1
1,50,56.5,4,0,2,2
1,73.5,69,4,0,2,2
2,41.5,36.5,4,0,1,1
1,63,63.5,4,0,2,2
2,44.5,22,4,0,1,1
2,35.5,20,4,0,1,1
1,86,85,4,0,2,2
2,57.5,56.5,4,0,1,1
1,79,79,4,0,2,2
2,67.5,66.5,4,0,1,1
1,22,42.5,4,0,2,2
1,81,69.5,4,0,2,2
1,88,65.5,4,0,2,2
3,55,49,4,0,2,2
1,30,36.5,4,0,2,2
1,72.5,94.5,4,0,2,2
1,84.5,82.5,4,0,2,2
1,68.5,73,4,0,2,2
1,83,64.5,4,0,2,2
3,33,42,4,0,2,2
3,53.5,60,4,0,2,2
3,34.5,42,4,0,2,2
1,52,56,4,0,2,2
3,20,A,4,0,2,2
3,69,58,4,0,2,2
1,80.5,79.5,4,0,2,2
3,42,25,4,0,2,2
3,56.5,65.5,4,0,2,2
3,52,52,4,0,2,2
3,7.5,14.5,4,0,2,2
1,83,77,4,0,2,2
3,40,48,4,0,2,2
1,72.5,75,4,0,2,2
3,17.5,28.5,4,0,2,2
3,24,18,4,0,2,2
3,41,35,4,0,2,2
3,39.5,39.5,4,0,2,2
3,11.5,28,4,0,2,2
2,19,15,4,0,1,1
3,77,84.5,4,0,2,2
2,65,62,4,0,1,1
1,13.5,16.5,4,0,2,2
2,23,25,4,0,1,1
1,52.5,47.5,4,0,2,2
3,35,39.5,4,0,2,2
3,36.5,19.5,4,0,2,2
3,24,26,4,0,2,2
1,68.5,53,4,0,2,2
2,40,46,4,0,1,1
1,32.5,14,4,0,2,2
2,27,43.5,4,0,1,1
2,44.5,44.5,4,0,1,1
2,78,73.5,4,0,1,1
1,60.5,55,4,0,2,2
3,57,69.5,4,0,2,2
3,69,77,4,0,2,2
3,54,52,4,0,2,2
1,86.5,82,4,0,2,2
3,24,24.5,4,0,2,2
3,26,36,4,0,2,2
3,37.5,29,4,0,2,2
1,51,42.5,4,0,2,2
3,10.5,A,4,0,2,2
3,66.5,67,4,0,2,2
3,52,56.5,4,0,2,2
3,26.5,16,4,0,2,2
1,59,58,4,0,2,2
2,34,41.5,5,1,2,2
2,34.5,24.5,5,1,2,2
2,17,9,5,1,2,2
2,0,A,5,1,2,2
1,42.5,26.5,5,0,1,1
1,51.5,43,5,0,1,1
1,69.5,55,5,0,1,1
1,69,68.5,5,0,1,1
2,23,35.5,5,0,2,2
1,66.5,61.5,5,0,1,1
1,82.5,53.5,5,0,1,1
1,57,29.5,5,0,1,1
2,41,39,5,0,2,2
1,73.5,48.5,5,0,1,1
1,83,71.5,5,0,1,1
1,56,40,5,0,1,1
1,49.5,51,5,0,1,1
2,54.5,49,5,0,2,2
1,81,73.5,5,0,1,1
1,52.5,43.5,5,0,1,1
2,16.5,27.5,5,0,2,2
1,43,31,5,0,1,1
2,32,52.5,5,0,2,2
2,40,31.5,5,0,2,2
1,80.5,74.5,5,0,1,1
1,79,44,5,0,1,1
1,76,74.5,5,0,1,1
1,47.5,22.5,5,0,1,1
2,24,15.5,5,0,2,2
2,39,34,5,0,2,2
2,30.5,28.5,5,0,2,2
2,49,43,5,0,2,2
1,60.5,57,5,0,1,1
2,28,37,5,0,2,2
1,73.5,59,5,0,1,1
1,67.5,41,5,0,1,1
1,79.5,51.5,5,0,1,1
2,28,49,5,0,2,2
2,46,61.5,5,0,2,2
1,72.5,61.5,5,0,1,1
1,54.5,41.5,5,0,1,1
1,72.5,62,5,0,1,1
1,69,63,5,0,1,1
2,46,43,5,0,2,2
1,41.5,48.5,5,0,1,1
1,61.5,55,5,0,1,1
2,49.5,57,5,0,2,2
2,53,52,5,0,2,2
1,64,52.5,5,0,1,1
1,88,79,5,0,1,1
1,71,65.5,5,0,1,1
2,47.5,46.5,5,0,2,2
2,78,67.5,5,0,2,2
1,39.5,48.5,5,0,1,1
2,22.5,A,5,0,2,2
1,66,70,5,0,1,1
1,54.5,50,5,0,1,1
1,58,53.5,5,0,1,1
1,84,54.5,5,0,1,1
2,32,28.5,5,0,2,2
1,52,34,5,0,1,1
1,63.5,48.5,5,0,1,1
1,54.5,44,5,0,1,1
1,60.5,66,5,0,1,1
2,58.5,39.5,5,0,2,2
2,20.5,24.5,5,0,2,2
1,83,65,5,0,1,1
2,36,41.5,5,0,2,2
2,27,47.5,5,0,2,2
2,31,35,5,0,2,2
2,27.5,A,5,0,2,2
2,31.5,46.5,5,0,2,2
2,43.5,29,5,0,2,2
